epoch,score,loss
1,-1229.4252955028,1413711.3512222
2,-1157.555127134,1245775.860788
3,-1081.4660391055,1092559.0210182
4,-1022.0766868971,972041.51211694
5,-968.86563081209,875244.18663614
6,-916.71715832959,777024.8105335
7,-872.98576672969,699602.27161425
8,-837.46893036181,638884.83905658
9,-809.9697957471,594521.39137124
10,-784.34864201314,553896.60336981
11,-765.0819710193,526264.13004011
12,-747.17746289448,498954.04680343
13,-730.74066901047,472272.44121182
14,-720.72965228687,456030.94501554
15,-710.12035926653,440230.88035167
16,-701.46131738287,427212.51198921
17,-694.37592854087,416199.38666919
18,-689.52314403946,409418.42725151
